    No    Content_num  Round     cover   
   698        8         28       1.0    
   699        5         19       1.0    
   700        6         20       1.0    
   701        3         14       1.0    
   702        4         14       1.0    
   703        8         31       1.0    
   704        4         16       1.0    
   705        4         15       1.0    
   706        6         22       1.0    
   707        3         12       1.0    
   708        5         22       1.0    
   709        5         20       1.0    
   710        4         15       1.0    
   711        6         23       1.0    
   712        4         18       1.0    
   713        5         20       1.0    
   714        6         21       1.0    
   715        4         15       1.0    
   716        5         18       1.0    
   717        6         22       1.0    
   718        3         11       1.0    
   719        2         8        1.0    
   720        7         26       1.0    
   721        5         21       1.0    
   722        3         13       1.0    
   723        3         12       1.0    
   724        6         24       1.0    
   725        2         7        1.0    
   726        3         11       1.0    
   727        6         22       1.0    
   728        5         21       1.0    
   729        4         14       1.0    
   730        2         8        1.0    
   731        4         13       1.0    
   732        6         24       1.0    
   733        6         22       1.0    
   734        5         18       1.0    
   735        5         19       1.0    
   736        5         21       1.0    
   737        6         21       1.0    
   738        4         17       1.0    
   739        7         26       1.0    
   740        5         24       1.0    
   741        4         16       1.0    
   742        7         28       1.0    
   743        5         22       1.0    
   744        4         17       1.0    
   745        5         20       1.0    
   746        7         24       1.0    
   747        4         14       1.0    
   748        4         16       1.0    
   749        3         13       1.0    
   750        3         13       1.0    
   751        8         30       1.0    
   752        5         18       1.0    
   753        6         25       1.0    
   754        5         18       1.0    
   755        6         21       1.0    
   756        2         8        1.0    
   757        5         20       1.0    
   758        5         20       1.0    
   759        3         11       1.0    
   760        4         16       1.0    
   761        5         21       1.0    
   762        8         32       1.0    
   763        6         23       1.0    
   764        5         19       1.0    
   765        5         19       1.0    
   766        5         20       1.0    
   767        5         18       1.0    
   768        6         25       1.0    
   769        7         26       1.0    
   770        7         22       1.0    
   771        5         20       1.0    
   772        4         15       1.0    
   773        5         19       1.0    
   774        6         24       1.0    
   775        5         20       1.0    
   776        6         21       1.0    
   777        4         12       1.0    
   778        2         8        1.0    
   779        4         15       1.0    
   780        5         23       1.0    
   781        4         15       1.0    
   782        2         6        1.0    
   783        5         18       1.0    
   784        3         11       1.0    
   785        5         19       1.0    
   786        5         20       1.0    
   787        6         21       1.0    
   788        4         14       1.0    
   789        4         15       1.0    
   790        6         21       1.0    
   791        4         18       1.0    
   792        2         8        1.0    
   793        5         18       1.0    
   794        4         15       1.0    
   795        3         10       1.0    
   796        7         26       1.0    
   797        7         27       1.0    
   798        8         31       1.0    
   799        6         21       1.0    
   800        5         19       1.0    
   801        3         12       1.0    
   802        6         21       1.0    
   803        4         15       1.0    
   804        6         25       1.0    
   805        5         19       1.0    
   806        7         23       1.0    
   807        2         7        1.0    
   808        7         25       1.0    
   809        4         18       1.0    
   810        6         24       1.0    
   811        7         27       1.0    
   812        6         21       1.0    
   813        4         17       1.0    
   814        4         14       1.0    
   815        5         19       1.0    
   816        7         28       1.0    
   817        6         24       1.0    
   818        5         19       1.0    
   819        5         21       1.0    
   820        4         16       1.0    
   821        5         20       1.0    
   822        5         19       1.0    
   823        6         22       1.0    
   824        5         23       1.0    
   825        6         24       1.0    
   826        6         25       1.0    
   827        7         28       1.0    
   828        4         12       1.0    
   829        4         13       1.0    
   830        5         17       1.0    
   831        6         23       1.0    
   832        6         23       1.0    
   833        6         24       1.0    
   834        5         21       1.0    
   835        6         26       1.0    
   836        4         15       1.0    
   837        5         20       1.0    
   838        5         20       1.0    
   839        4         13       1.0    
   840        5         19       1.0    
   841        3         11       1.0    
   842        4         15       1.0    
   843        7         24       1.0    
   844        3         12       1.0    
   845        3         10       1.0    
   846        5         16       1.0    
   847        6         24       1.0    
   848        8         30       1.0    
   849        5         19       1.0    
   850        4         17       1.0    
   851        6         22       1.0    
   852        5         21       1.0    
   853        7         27       1.0    
   854        7         26       1.0    
   855        4         14       1.0    
   856        7         23       1.0    
   857        4         15       1.0    
   858        4         16       1.0    
   859        6         22       1.0    
   860        4         13       1.0    
   861        4         17       1.0    
   862        4         18       1.0    
   863        6         24       1.0    
   864        4         13       1.0    
   865        7         23       1.0    
   866        7         25       1.0    
   867        5         18       1.0    
   868        5         20       1.0    
   869        3         14       1.0    
   870        6         23       1.0    
   871        4         18       1.0    
   872        4         15       1.0    
   873        5         20       1.0    
   874        7         27       1.0    
   875        6         20       1.0    
   876        5         19       1.0    
   877        5         20       1.0    
   878        3         11       1.0    
   879        4         15       1.0    
   880        4         15       1.0    
   881        5         20       1.0    
   882        4         15       1.0    
   883        6         24       1.0    
   884        8         29       1.0    
   885        6         22       1.0    
   886        4         16       1.0    
   887        5         20       1.0    
   888        5         18       1.0    
   889        6         22       1.0    
   890        3         12       1.0    
   891        7         23       1.0    
   892        5         16       1.0    
   893        5         19       1.0    
   894        6         20       1.0    
   895        5         19       1.0    
   896        5         20       1.0    
   897        6         24       1.0    
   898        4         16       1.0    
   899        5         19       1.0    
   900        4         16       1.0    
   901        5         18       1.0    
   902        5         21       1.0    
   903        3         12       1.0    
   904        5         19       1.0    
   905        4         16       1.0    
   906        3         13       1.0    
   907        4         13       1.0    
   908        8         31       1.0    
   909        5         17       1.0    
   910        6         20       1.0    
   911        6         23       1.0    
   912        6         23       1.0    
   913        2         7        1.0    
   914        5         19       1.0    
   915        4         17       1.0    
   916        4         15       1.0    
   917        5         19       1.0    
   918        5         20       1.0    
   919        5         21       1.0    
   920        5         18       1.0    
   921        7         25       1.0    
   922        5         20       1.0    
   923        5         20       1.0    
   924        6         21       1.0    
   925        7         23       1.0    
   926        6         22       1.0    
   927        6         26       1.0    
   928        7         23       1.0    
   929        6         21       1.0    
   930        7         27       1.0    
   931        4         17       1.0    
   932        4         15       1.0    
   933        3         11       1.0    
   934        3         9        1.0    
   935        3         11       1.0    
   936        5         17       1.0    
   937        6         23       1.0    
   938        6         23       1.0    
   939        4         18       1.0    
   940        3         10       1.0    
   941        5         22       1.0    
   942        3         13       1.0    
   943        4         16       1.0    
   944        5         23       1.0    
   945        2         8        1.0    
