   NO.      Round     Ori_Content   Lack_Content   Extra_Content   Final_Cover  
   395        21           6              1              0       0.8333333333333334
   396        22           7              1              0       0.8571428571428571
   397        10           3              0              0             1.0      
   398        20           6              0              0             1.0      
   399        15           5              0              0             1.0      
   400        21           6              1              0       0.8333333333333334
   401        15           5              0              0             1.0      
   402        16           5              1              0             0.8      
   403        10           3              0              0             1.0      
   404        16           5              1              0             0.8      
   405        15           5              0              0             1.0      
   406        18           6              0              0             1.0      
   407        12           4              0              0             1.0      
   408        23           7              0              0             1.0      
   409        19           5              1              0             0.8      
   410        10           3              0              0             1.0      
   411        10           3              0              0             1.0      
   412        24           7              1              0       0.8571428571428571
   413        10           3              0              0             1.0      
   414        17           5              1              0             0.8      
   415        26           7              1              0       0.8571428571428571
   416        12           3              1              0       0.6666666666666666
   417        16           5              1              0             0.8      
   418        23           7              0              0             1.0      
   419        19           6              0              0             1.0      
   420        10           3              0              0             1.0      
   421        16           5              1              0             0.8      
   422        18           5              0              0             1.0      
   423        22           7              1              0       0.8571428571428571
   424        15           5              0              0             1.0      
   425        22           7              1              0       0.8571428571428571
   426        8            2              0              0             1.0      
   427        14           4              1              0            0.75      
   428        15           4              0              0             1.0      
   429        16           5              0              0             1.0      
   430        22           7              1              0       0.8571428571428571
   431        17           5              0              0             1.0      
   432        23           7              0              0             1.0      
   433        8            2              0              0             1.0      
   434        23           7              0              0             1.0      
   435        8            2              0              0             1.0      
   436        10           3              0              0             1.0      
   437        15           5              0              0             1.0      
   438        12           4              0              0             1.0      
   439        10           3              0              0             1.0      
   440        14           4              0              0             1.0      
   441        15           5              0              0             1.0      
   442        15           5              0              0             1.0      
   443        9            3              0              0             1.0      
   444        27           8              1              0            0.875     
   445        11           3              1              0       0.6666666666666666
   446        27           8              1              0            0.875     
   447        10           3              0              0             1.0      
   448        16           5              1              0             0.8      
   449        14           4              0              0             1.0      
   450        18           6              0              0             1.0      
   451        18           6              0              0             1.0      
   452        12           4              0              0             1.0      
   453        19           5              1              0             0.8      
   454        12           4              0              0             1.0      
   455        12           4              0              0             1.0      
   456        20           6              0              0             1.0      
   457        20           6              0              0             1.0      
   458        15           5              0              0             1.0      
   459        10           3              0              0             1.0      
   460        23           7              0              0             1.0      
   461        9            3              0              0             1.0      
   462        11           4              0              0             1.0      
   463        23           7              1              0       0.8571428571428571
   464        17           5              1              0             0.8      
   465        8            3              0              0             1.0      
   466        16           5              0              0             1.0      
   467        8            2              0              0             1.0      
   468        16           5              0              0             1.0      
   469        21           6              0              0             1.0      
   470        20           6              1              0       0.8333333333333334
   471        11           4              0              0             1.0      
   472        27           8              0              0             1.0      
   473        16           5              0              0             1.0      
   474        8            3              0              0             1.0      
   475        15           4              0              0             1.0      
   476        16           5              0              0             1.0      
   477        16           5              0              0             1.0      
   478        23           6              0              0             1.0      
   479        13           4              1              0            0.75      
   480        10           3              0              0             1.0      
   481        10           3              0              0             1.0      
   482        13           4              0              0             1.0      
   483        19           6              1              0       0.8333333333333334
   484        15           5              0              0             1.0      
   485        8            2              0              0             1.0      
   486        16           5              1              0             0.8      
   487        20           6              0              0             1.0      
   488        23           6              1              0       0.8333333333333334
   489        12           4              0              0             1.0      
   490        15           5              0              0             1.0      
   491        18           6              0              0             1.0      
   492        15           4              0              0             1.0      
   493        20           6              1              0       0.8333333333333334
   494        7            2              0              0             1.0      
   495        5            2              0              0             1.0      
   496        20           6              1              0       0.8333333333333334
   497        19           5              1              0             0.8      
   498        17           5              1              0             0.8      
   499        26           7              0              0             1.0      
   500        11           4              0              0             1.0      
   501        18           6              0              0             1.0      
   502        16           5              0              0             1.0      
   503        16           5              0              0             1.0      
   504        12           4              0              0             1.0      
   505        22           6              0              0             1.0      
   506        6            2              0              0             1.0      
   507        18           6              0              0             1.0      
   508        12           4              0              0             1.0      
   509        9            3              0              0             1.0      
   510        19           6              0              0             1.0      
   511        6            2              0              0             1.0      
   512        13           4              0              0             1.0      
   513        27           9              0              0             1.0      
   514        15           5              0              0             1.0      
   515        18           6              0              0             1.0      
   516        15           5              0              0             1.0      
   517        18           5              0              0             1.0      
   518        18           5              0              0             1.0      
   519        12           4              0              0             1.0      
   520        26           8              0              0             1.0      
   521        10           3              0              0             1.0      
   522        21           7              0              0             1.0      
   523        26           8              0              0             1.0      
   524        15           5              0              0             1.0      
   525        18           6              0              0             1.0      
   526        9            3              0              0             1.0      
   527        16           5              0              0             1.0      
   528        13           4              0              0             1.0      
   529        21           7              0              0             1.0      
   530        21           6              0              0             1.0      
   531        10           3              0              0             1.0      
   532        8            2              0              0             1.0      
   533        7            2              0              0             1.0      
   534        23           7              0              0             1.0      
   535        18           6              0              0             1.0      
   536        15           5              0              0             1.0      
   537        10           3              0              0             1.0      
   538        23           7              0              0             1.0      
   539        20           6              0              0             1.0      
   540        21           7              0              0             1.0      
   541        21           7              0              0             1.0      
   542        21           7              0              0             1.0      
   543        15           5              0              0             1.0      
   544        12           4              0              0             1.0      
   545        15           5              0              0             1.0      
   546        7            2              0              0             1.0      
   547        20           6              0              0             1.0      
   548        15           5              0              0             1.0      
   549        20           6              0              0             1.0      
   550        15           5              0              0             1.0      
   551        13           4              0              0             1.0      
   552        15           5              0              0             1.0      
